data,usd_sredni,euro_sredni
2020-01-02,3.8,4.2571
2020-01-03,3.8213,4.2569
2020-01-07,3.7861,4.2347
2020-01-08,3.8123,4.2465
2020-01-09,3.8251,4.2459
2020-01-10,3.8272,4.2467
2020-01-13,3.8101,4.2353
2020-01-14,3.8019,4.2323
2020-01-15,3.7992,4.2279
2020-01-16,3.7968,4.2348
2020-01-17,3.8053,4.2344
2020-01-20,3.8277,4.2447
2020-01-21,3.8284,4.2459
2020-01-22,3.8202,4.237
2020-01-23,3.8308,4.2463
2020-01-24,3.8475,4.2461
2020-01-27,3.8725,4.2679
2020-01-28,3.8844,4.2794
2020-01-29,3.8871,4.2766
2020-01-30,3.8856,4.2813
2020-01-31,3.8999,4.301
2020-02-03,3.8864,4.3034
2020-02-04,3.8773,4.2867
2020-02-05,3.8654,4.262
2020-02-06,3.8672,4.2535
2020-02-07,3.8947,4.2664
2020-02-10,3.8996,4.2699
2020-02-11,3.9041,4.2609
2020-02-12,3.901,4.2599
2020-02-13,3.9104,4.2557
2020-02-14,3.9098,4.2402
2020-02-17,3.9189,4.2502
2020-02-18,3.9448,4.2714
2020-02-19,3.9556,4.2732
2020-02-20,3.9621,4.2789
2020-02-21,3.9623,4.2831
2020-02-24,3.9772,4.3017
2020-02-25,3.9624,4.2996
2020-02-26,3.9573,4.3093
2020-02-27,3.9413,4.31
2020-02-28,3.9255,4.3355
2020-03-02,3.9023,4.3237
2020-03-03,3.8804,4.3173
2020-03-04,3.8536,4.2993
2020-03-05,3.8479,4.2994
2020-03-06,3.8231,4.3178
2020-03-09,3.7899,4.3176
2020-03-10,3.8058,4.32
2020-03-11,3.8186,4.3167
2020-03-12,3.8642,4.3451
2020-03-13,3.9067,4.3618
2020-03-16,3.9231,4.3911
2020-03-17,4.046,4.4886
2020-03-18,4.0749,4.4806
2020-03-19,4.2421,4.5917
2020-03-20,4.24,4.5459
2020-03-23,4.2654,4.5571
2020-03-24,4.2421,4.6044
2020-03-25,4.222,4.5779
2020-03-26,4.1988,4.5962
2020-03-27,4.1127,4.5246
2020-03-30,4.0933,4.5395
2020-03-31,4.1466,4.5523
2020-04-01,4.1701,4.5694
2020-04-02,4.1917,4.5769
2020-04-03,4.2396,4.5792
2020-04-06,4.2257,4.5612
2020-04-07,4.1717,4.5342
2020-04-08,4.1801,4.5362
2020-04-09,4.1744,4.537
2020-04-10,4.1566,4.5484
2020-04-14,4.1666,4.5512
2020-04-15,4.1519,4.5389
2020-04-16,4.1631,4.5326
2020-04-17,4.1886,4.5367
2020-04-20,4.1525,4.5175
2020-04-21,4.1779,4.5276
2020-04-22,4.1736,4.5329
2020-04-23,4.2093,4.5444
2020-04-24,4.2142,4.533
2020-04-27,4.1696,4.524
2020-04-28,4.184,4.5399
2020-04-29,4.1807,4.5432
2020-04-30,4.1729,4.5424
2020-05-04,4.1646,4.5582
2020-05-05,4.1927,4.5476
2020-05-06,4.2022,4.539
2020-05-07,4.2162,4.5505
2020-05-08,4.2065,4.5577
2020-05-11,4.2126,4.5572
2020-05-12,4.2095,4.5549
2020-05-13,4.2111,4.5661
2020-05-14,4.2269,4.5693
2020-05-15,4.2135,4.5552
2020-05-18,4.2224,4.5644
2020-05-19,4.1645,4.561
2020-05-20,4.1619,4.554
2020-05-21,4.1346,4.5365
2020-05-22,4.1503,4.5234
2020-05-25,4.1428,4.5111
2020-05-26,4.0885,4.48
2020-05-27,4.0504,4.4378
2020-05-28,4.0244,4.4264
2020-05-29,4.0031,4.4503
2020-06-01,3.968,4.4202
2020-06-02,3.9303,4.3902
2020-06-03,3.9121,4.3859
2020-06-04,3.9573,4.4347
2020-06-05,3.9217,4.4443
2020-06-08,3.9197,4.4291
2020-06-09,3.9453,4.4436
2020-06-10,3.918,4.4544
2020-06-12,3.9299,4.4506
2020-06-15,3.9413,4.4403
2020-06-16,3.9058,4.4278
2020-06-17,3.9532,4.4503
2020-06-18,3.9589,4.4534
2020-06-19,3.9741,4.4573
2020-06-22,3.9667,4.4524
2020-06-23,3.9311,4.4386
2020-06-24,3.9395,4.4532
2020-06-25,3.9623,4.4495
2020-06-26,3.9697,4.4616
2020-06-29,3.9656,4.4631
2020-06-30,3.9806,4.466
